[200~"id","x_coordinate","y_coordinate","tribe_id","village_id","village_name","player_id","player_name","alliance_id","alliance_tag","population","region","capital","city","harbor","victory_points"
9634,-191,176,3,20525,"02.",1794,"AnDr",1,"CONS",218,NULL,False,NULL,NULL,NULL
10534,-93,174,1,20494,"02. The Professor",1033,"snoopy",36,"huhu",242,NULL,True,NULL,NULL,NULL
11094,66,173,1,21153,"R00",1472,"reinancosta",16,"LGF",94,NULL,False,NULL,NULL,NULL
11344,-85,172,1,20670,"Brotherhood of Steel",192,"Jel",1,"CONS",225,NULL,True,NULL,NULL,NULL
12013,183,171,3,20668,"01",867,"Shuriken",8,"RYF",291,NULL,True,NULL,NULL,NULL
12199,-32,170,1,20842,"02 Hallucinogens",1785,"MKUltra",1,"CONS",406,NULL,False,NULL,NULL,NULL
13327,-107,167,2,20470,"South Store",219,"Bush did 7 11",1,"CONS",286,NULL,True,NULL,NULL,NULL
18138,-108,155,3,20651,"The Den",672,"Coyote",1,"CONS",216,NULL,False,NULL,NULL,NULL
18203,-43,155,3,20625,"3B",529,"PencilGate",1,"CONS",165,NULL,False,NULL,NULL,NULL
18397,151,155,1,21479,"F1. Black Sabbath",644,"LiNKeR",8,"RYF",167,NULL,False,NULL,NULL,NULL
18474,-173,154,3,21525,"03.",1794,"AnDr",1,"CONS",178,NULL,False,NULL,NULL,NULL
18637,-10,154,1,21217,"Moon Buggy",53,"Moon Walking",1,"CONS",420,NULL,False,NULL,NULL,NULL
18665,18,154,3,20481,"1",1357,"boramir",0,"",150,NULL,False,NULL,NULL,NULL
19562,113,152,3,20502,"{ 01 } Templo",1118,"Templarios",8,"RYF",365,NULL,True,NULL,NULL,NULL
20677,25,149,1,20876,"01 - DarkDimDreary",1822,"WonderWoman",1,"CONS",406,NULL,False,NULL,NULL,NULL
21397,-57,147,3,20396,"01 | Closed",220,"Top Secret!",1,"CONS",404,NULL,True,NULL,NULL,NULL
21798,-57,146,3,21149,"02 | Mission",220,"Top Secret!",1,"CONS",288,NULL,False,NULL,NULL,NULL
21999,144,146,1,20483,"00. Soundgarden",644,"LiNKeR",8,"RYF",354,NULL,True,NULL,NULL,NULL
22017,162,146,3,21368,"Whiteshark",2055,"Whitefox",55,"RYF@",118,NULL,False,NULL,NULL,NULL
22019,164,146,3,20358,"Blackjungle",2055,"Whitefox",55,"RYF@",387,NULL,True,NULL,NULL,NULL
22347,91,145,3,21085,"02.- Dandeu",183,"vNika",21,"RyFz",63,NULL,False,NULL,NULL,NULL
22802,145,144,3,21164,"Parisios",1956,"Bravuco",0,"",77,NULL,False,NULL,NULL,NULL
23667,-193,141,1,20480,"Fawlty Towers",1104,"GreatFiaOLondon",1,"CONS",318,NULL,True,NULL,NULL,NULL
24786,124,139,3,20453,"01",94,"Chus0",8,"RYF",263,NULL,False,NULL,NULL,NULL
25093,30,138,3,21106,"Village de Massepowe",1948,"Massepower",0,"",190,NULL,False,NULL,NULL,NULL
25318,-146,137,1,20866,"Greyhawk",1213,"Herr A.P.P.",13,"T..L.",160,NULL,True,NULL,NULL,NULL
26610,-57,134,1,20399,"02 ⚡⚡⚡",203,"Prometheus",15,"TIC",360,NULL,True,NULL,NULL,NULL
27017,-51,133,1,21517,"03",203,"Prometheus",15,"TIC",130,NULL,False,NULL,NULL,NULL
27279,-190,132,1,21450,"3 Lions",1104,"GreatFiaOLondon",1,"CONS",172,NULL,False,NULL,NULL,NULL
27964,94,131,2,20865,"Midnight",375,"tempus",21,"RyFz",147,NULL,True,NULL,NULL,NULL
28110,-161,130,2,21071,"02 Prometheus",1046,"TrojanHorsePlay",1,"CONS",624,NULL,False,NULL,NULL,NULL
28194,-77,130,1,20304,"B",12,"Merlin",15,"TIC",456,NULL,True,NULL,NULL,NULL
28195,-76,130,1,21420,"C",12,"Merlin",15,"TIC",131,NULL,False,NULL,NULL,NULL
28418,147,130,1,20825,"R",353,"Pegoci",55,"RYF@",201,NULL,True,NULL,NULL,NULL
28616,-56,129,3,21142,"02. FollowtheRabbit",1305,"White Rabbit",1,"CONS",428,NULL,False,NULL,NULL,NULL
28811,139,129,1,21058,"001",2406,"beti3210",16,"LGF",92,NULL,False,NULL,NULL,NULL
29017,-56,128,3,20245,"01. Rabbithole",1305,"White Rabbit",1,"CONS",425,NULL,True,NULL,NULL,NULL
29157,84,128,3,21007,"Nova aldeia 1",371,"Marcia M",21,"RyFz",175,NULL,True,NULL,NULL,NULL
29442,-32,127,3,21402,"101",2661,"Trauma",29,"A3",204,NULL,False,NULL,NULL,NULL
29667,193,127,1,21127,"Grogu",1482,"The Mandalorian",21,"RyFz",78,NULL,True,NULL,NULL,NULL
29688,-187,126,2,20339,"Amelie",1043,"The Pyramids",1,"CONS",363,NULL,True,NULL,NULL,NULL
29846,-29,126,3,20593,"10",2661,"Trauma",29,"A3",327,NULL,True,NULL,NULL,NULL
29879,4,126,1,20150,"01 Paranoia",1785,"MKUltra",1,"CONS",567,NULL,True,NULL,NULL,NULL
29931,56,126,1,20614,"Nova aldeia",332,"Malick",16,"LGF",328,NULL,True,NULL,NULL,NULL
30173,-103,125,3,20459,"New village",785,"Gpa",1,"CONS",112,NULL,True,NULL,NULL,NULL
30658,-19,124,3,20343,"Cloke Rayburn",843,"Secret History",1,"CONS",361,NULL,True,NULL,NULL,NULL
31077,-1,123,1,21161,"01",938,"TimmothyIsBest",36,"huhu",159,NULL,True,NULL,NULL,NULL
31384,-95,122,3,20485,"*** Apollo ***",237,"Kitten",1,"CONS",188,NULL,True,NULL,NULL,NULL
31596,117,122,2,20587,"OmG2",139,"Bruhl",8,"RYF",151,NULL,False,NULL,NULL,NULL
31771,-109,121,2,21251,"New village",1936,"Prescott",36,"huhu",113,NULL,False,NULL,NULL,NULL
32098,-183,120,2,21391,"Babe",1043,"The Pyramids",1,"CONS",92,NULL,False,NULL,NULL,NULL
32265,-16,120,3,21265,"Frances Abernathy",843,"Secret History",1,"CONS",202,NULL,False,NULL,NULL,NULL
32611,-71,119,3,20704,"02",226,"Harley Quinn",15,"TIC",412,NULL,True,NULL,NULL,NULL
32614,-68,119,3,21527,"03",226,"Harley Quinn",15,"TIC",112,NULL,False,NULL,NULL,NULL
32672,-10,119,1,20246,"Fat Bottomed Bees",750,"Bumblebee",1,"CONS",270,NULL,True,NULL,NULL,NULL
32728,46,119,3,21326,"1.2 Mutant Strain",1236,"Covid Origins",1,"CONS",358,NULL,False,NULL,NULL,NULL
32745,63,119,3,20913,"RA!DEN II",1638,"RA!DEN",16,"LGF",223,NULL,False,NULL,NULL,NULL
32955,-128,118,1,21184,"Beobachter",551,"Observer",36,"huhu",140,NULL,False,NULL,NULL,NULL
35195,107,113,1,20884,"Aldea nueva",110,"Metalicana",21,"RyFz",183,NULL,False,NULL,NULL,NULL
35318,-171,112,1,21048,"1 Capital",1197,"Joseph",7,"UNION",116,NULL,True,NULL,NULL,NULL
35567,78,112,1,20868,"Tad pole",1225,"Fried Frogzz",16,"LGF",281,NULL,False,NULL,NULL,NULL
35682,193,112,2,21514,"03",1046,"TrojanHorsePlay",1,"CONS",42,NULL,False,NULL,NULL,NULL
36304,13,110,1,21233,"Krogan DMZ",1209,"RMS Olympic",1,"CONS",264,NULL,False,NULL,NULL,NULL
36647,-45,109,3,21252,"00 Interchange",2889,"Tarkovchad",2,"Sword",102,NULL,False,NULL,NULL,NULL
36687,-5,109,1,21223,"New village",134,"Sonic",36,"huhu",42,NULL,True,NULL,NULL,NULL
37446,-48,107,1,20120,"00 - Snap ya fingas",1822,"WonderWoman",1,"CONS",548,NULL,True,NULL,NULL,NULL
38022,127,106,1,21138,".",1914,"Salvadors",21,"RyFz",224,NULL,False,NULL,NULL,NULL
38301,5,105,1,20186,"Serpent Nebula",1209,"RMS Olympic",1,"CONS",449,NULL,True,NULL,NULL,NULL
38317,21,105,1,21019,"New village",1787,"Kuroandre",21,"RyFz",138,NULL,False,NULL,NULL,NULL
38365,69,105,2,20952,"2",210,"Benjardo666",8,"RYF",140,NULL,False,NULL,NULL,NULL
38395,99,105,2,20368,"00 Hell&#39;s Kitchen",287,"El Chef",8,"RYF",333,NULL,True,NULL,NULL,NULL
38519,-178,104,1,20441,"02 Parallel Universe",735,"Bermuda",1,"CONS",365,NULL,False,NULL,NULL,NULL
38520,-177,104,1,21309,"03 Rogue Waves",735,"Bermuda",1,"CONS",281,NULL,False,NULL,NULL,NULL
39359,-140,102,3,21061,"03. Isstvan",43,"Silas Marr",1,"CONS",467,NULL,False,NULL,NULL,NULL
39464,-35,102,1,21516,"Aldea nueva",2789,"Tronko21",2,"Sword",11,NULL,False,NULL,NULL,NULL
39545,46,102,1,21414,"New village",2811,"El papi",73,"DTEAM",10,NULL,False,NULL,NULL,NULL
39991,91,101,1,20924,"02-Tranzit",346,"Nardo",8,"RYF",191,NULL,False,NULL,NULL,NULL
40051,151,101,2,20400,"New village",447,"yall",0,"",53,NULL,False,NULL,NULL,NULL
40251,-50,100,3,20871,"01: MH = Romanian",1862,"Iker&Cavallazzo",1,"CONS",234,NULL,False,NULL,NULL,NULL
40649,-53,99,3,20066,"00: Gladiator Helm",1862,"Iker&Cavallazzo",1,"CONS",437,NULL,True,NULL,NULL,NULL
40815,113,99,1,21008,"Bum bum",2457,"maarek",16,"LGF",130,NULL,False,NULL,NULL,NULL
40870,168,99,1,21519,"II Argos",2190,"Waristoky",55,"RYF@",101,NULL,False,NULL,NULL,NULL
41571,67,97,3,20894,"02",364,"El profe",8,"RYF",184,NULL,False,NULL,NULL,NULL
41985,80,96,1,20896,"HP2",443,"El HdeP",8,"RYF",195,NULL,False,NULL,NULL,NULL
42300,-6,95,1,21504,"maiunagioia 0,2",860,"maiunagioia",2,"Sword",54,NULL,False,NULL,NULL,NULL
42362,56,95,1,21225,"02",2224,"Scooby",21,"RyFz",30,NULL,False,NULL,NULL,NULL
42519,-188,94,1,20854,"Nova aldeia",395,"Tugagt.",7,"UNION",131,NULL,False,NULL,NULL,NULL
42542,-165,94,1,21130,"ZLOD®03",258,"Zaralho",7,"UNION",83,NULL,False,NULL,NULL,NULL
43108,0,93,3,20121,"1.1 Lab Leak",1236,"Covid Origins",1,"CONS",411,NULL,True,NULL,NULL,NULL
43147,39,93,3,21018,"Alameda",1207,"Kavus",16,"LGF",129,NULL,False,NULL,NULL,NULL
43585,76,92,1,21397,"[01] Vegita",2858,"Edsonribe1987",73,"DTEAM",40,NULL,False,NULL,NULL,NULL
43678,169,92,1,20464,"I Atlantis",2190,"Waristoky",55,"RYF@",404,NULL,False,NULL,NULL,NULL
43828,-82,91,3,21359,"02 - Kaelin",1441,"Jimborious",1,"CONS",127,NULL,False,NULL,NULL,NULL
43992,82,91,3,21390,"TTT",310,"archer",55,"RYF@",41,NULL,False,NULL,NULL,NULL
44131,-180,90,1,20714,"Perro 2",2709,"Los perros",2,"Sword",185,NULL,True,NULL,NULL,NULL
44229,-82,90,3,20331,"00 - Hamilton",1441,"Jimborious",1,"CONS",283,NULL,False,NULL,NULL,NULL
44580,-132,89,3,20496,"02 List",185,"Balvan",1,"CONS",297,NULL,False,NULL,NULL,NULL
45059,-54,88,1,20938,"!!!404!!!",1712,"Snafu",2,"Sword",89,NULL,True,NULL,NULL,NULL
45156,43,88,1,21334,"Aldea nueva",1610,"Luquitas2024",21,"RyFz",71,NULL,False,NULL,NULL,NULL
45550,36,87,1,21107,"02. Artvin",1723,"HODLU",55,"RYF@",118,NULL,False,NULL,NULL,NULL
45579,65,87,2,20546,"00 Thicc Mami",1873,"Daddy",55,"RYF@",239,NULL,False,NULL,NULL,NULL
45755,-160,86,2,20669,"MILUNKA 2",674,"Milunka",7,"UNION",55,NULL,False,NULL,NULL,NULL
45913,-2,86,1,21486,"Aldea de Pacheco",3706,"Pacheco",90,"8",47,NULL,True,NULL,NULL,NULL
45965,50,86,1,21513,"2",2925,"Ulysses",0,"",27,NULL,False,NULL,NULL,NULL
46304,-12,85,2,21473,"Douglasmeloz""s village",3703,"Douglasmeloz",0,"",10,NULL,True,NULL,NULL,NULL
46312,-4,85,3,21190,"Aldea de Hanna",3593,"Hanna",0,"",57,NULL,True,NULL,NULL,NULL
46317,1,85,3,21270,"Bicikl""s village",3620,"Bicikl",0,"",21,NULL,True,NULL,NULL,NULL
46322,6,85,3,21266,"Kmet""s village",3616,"Kmet",0,"",8,NULL,True,NULL,NULL,NULL
46374,58,85,1,20312,"Firulais 2",99,"Firulais",8,"RYF",328,NULL,False,NULL,NULL,NULL
46471,155,85,3,20434,"Crop",80,"ramerok",8,"RYF",348,NULL,True,NULL,NULL,NULL
46531,-186,84,3,21355,"T✭G 02",654,"Troy Gunther",7,"UNION",75,NULL,False,NULL,NULL,NULL
46698,-19,84,3,21472,"Aldeia do abin21segund",3702,"abin21segund",0,"",10,NULL,True,NULL,NULL,NULL
46700,-17,84,2,21464,"Skiman""s village",3701,"Skiman",0,"",20,NULL,True,NULL,NULL,NULL
46702,-15,84,1,21188,"Aldea de GalgoD",3592,"GalgoD",0,"",13,NULL,True,NULL,NULL,NULL
46704,-13,84,3,21183,"Aldeia do Nelson",3591,"Nelson",0,"",17,NULL,True,NULL,NULL,NULL
46707,-10,84,3,21181,"Rallyzeiro-Land",3590,"rallyzeiro",0,"",12,NULL,True,NULL,NULL,NULL
46709,-8,84,3,20973,"Kenshin",3505,"Alanquissi",0,"",13,NULL,True,NULL,NULL,NULL
46714,-3,84,1,20970,"Feedek""s village",3504,"Feedek",60,"LGFy",133,NULL,True,NULL,NULL,NULL
46716,-1,84,3,20969,"Aldea de Skennedy",3503,"Skennedy",0,"",62,NULL,True,NULL,NULL,NULL
46725,8,84,3,21014,"1. Valle de jezreel",3523,"ast kira",0,"",119,NULL,True,NULL,NULL,NULL
46771,54,84,1,21202,"Firulais 3",99,"Firulais",8,"RYF",248,NULL,False,NULL,NULL,NULL
47042,-76,83,2,20468,"02 Capital",1834,"LETSGO",1,"CONS",178,NULL,False,NULL,NULL,NULL
47100,-18,83,3,21178,"sisi""s village",3589,"sisi",0,"",8,NULL,True,NULL,NULL,NULL
47104,-14,83,3,20961,"tomato",3499,"Farmer",60,"LGFy",344,NULL,True,NULL,NULL,NULL
47106,-12,83,2,20956,"Doctorjae""s village",3498,"Doctorjae",0,"",10,NULL,True,NULL,NULL,NULL
47111,-7,83,1,20769,"Triple777""s village",3396,"Triple777",0,"",12,NULL,True,NULL,NULL,NULL
47114,-4,83,1,20767,"PMPeem4""s village",3395,"PMPeem4",0,"",334,NULL,True,NULL,NULL,NULL
47121,3,83,2,20785,"Megalopolis",3403,"Malap-Alhap",54,"LGFx",222,NULL,True,NULL,NULL,NULL
47123,5,83,3,20781,"Jadoo""s village",3397,"Jadoo",0,"",90,NULL,True,NULL,NULL,NULL
47129,11,83,3,21011,"Aldea de artur12",3521,"artur12",0,"",10,NULL,True,NULL,NULL,NULL
47131,13,83,3,20999,"Aldeia do Tróia1976 dD",3520,"Tróia1976 dD",0,"",10,NULL,True,NULL,NULL,NULL
47157,39,83,3,21380,"Bestelia",2746,"Stynche",16,"LGF",38,NULL,False,NULL,NULL,NULL
47281,163,83,1,20766,"02",284,"MahonryWhite",21,"RyFz",241,NULL,False,NULL,NULL,NULL
47492,-27,82,3,21455,"Bugatti""s village",3700,"Bugatti",0,"",8,NULL,True,NULL,NULL,NULL
47495,-24,82,3,21075,"Mercs",2328,"sniper5",2,"Sword",155,NULL,False,NULL,NULL,NULL
47497,-22,82,1,21177,"TH1NGs""s village",3588,"TH1NGs",0,"",8,NULL,True,NULL,NULL,NULL
47499,-20,82,3,20954,"Hecatompylos",3496,"Alirezaclc",0,"",17,NULL,True,NULL,NULL,NULL
47503,-16,82,1,20953,"Spuddle",3495,"Mesdoram",0,"",166,NULL,True,NULL,NULL,NULL
47508,-11,82,3,20763,"Hus""s village",3393,"Hus",0,"",10,NULL,True,NULL,NULL,NULL
47511,-8,82,1,20555,"Aldea de Hi!",3278,"Hi!",0,"",8,NULL,True,NULL,NULL,NULL
47518,-1,82,1,20553,"Dumbitos""s village",3277,"Dumbitos",0,"",56,NULL,True,NULL,NULL,NULL
47526,7,82,3,20611,"Alemtk""s village",3312,"Alemtk",0,"",8,NULL,True,NULL,NULL,NULL
47534,15,82,1,20780,"Rama Thirta""s village",3401,"Rama Thirta",0,"",22,NULL,True,NULL,NULL,NULL
47537,18,82,3,20997,"fredoNYC""s village",3519,"fredoNYC",0,"",15,NULL,True,NULL,NULL,NULL
47539,20,82,3,20993,"Aldeia do boa esperaca",3514,"boa esperaca",0,"",59,NULL,True,NULL,NULL,NULL
47589,70,82,1,20706,"X1",187,"BONNIE&CLYDE",21,"RyFz",340,NULL,False,NULL,NULL,NULL
47899,-21,81,1,20951,"Деревня Tarantul",3494,"Tarantul",60,"LGFy",243,NULL,True,NULL,NULL,NULL
47905,-15,81,1,20551,"Nuceria",3276,"Angron",60,"LGFy",245,NULL,True,NULL,NULL,NULL
47910,-10,81,2,20549,"Aldea de arayy188",3274,"arayy188",0,"",8,NULL,True,NULL,NULL,NULL
47918,-2,81,1,20321,"Dorf von Lord Snake I",3175,"Lord Snake I",73,"DTEAM",327,NULL,True,NULL,NULL,NULL
47920,0,81,2,21241,".",2676,"turn left",55,"RYF@",104,NULL,False,NULL,NULL,NULL
47930,10,81,1,20608,"00",3315,"Omegakure",0,"",74,NULL,True,NULL,NULL,NULL
47943,23,81,1,20988,"Aldeia do Cael",3511,"Cael",0,"",84,NULL,True,NULL,NULL,NULL
48276,-45,80,2,21244,"Village R2",2786,"rbenetti",2,"Sword",82,NULL,False,NULL,NULL,NULL
48284,-37,80,2,21206,"01101100",2894,"blargarble",2,"Sword",79,NULL,False,NULL,NULL,NULL
48289,-32,80,1,21447,"RebienTAnos""s village",3699,"RebienTAnos",0,"",25,NULL,True,NULL,NULL,NULL
48291,-30,80,1,21175,"Salteador""s village",3587,"Salteador",0,"",75,NULL,True,NULL,NULL,NULL
48293,-28,80,2,21170,"Draean",3585,"Vitim989x",0,"",51,NULL,True,NULL,NULL,NULL
48308,-13,80,2,20320,"Vila Lobo",3174,"Moglilobo",60,"LGFy",212,NULL,True,NULL,NULL,NULL
48310,-11,80,3,20317,"Aldeia do rogerio ra",3173,"rogerio ramos",60,"LGFy",242,NULL,True,NULL,NULL,NULL
48314,-7,80,3,20195,"Bolvi""s village",3084,"Bolvi",0,"",120,NULL,True,NULL,NULL,NULL
48316,-5,80,1,20194,"1",3083,"Lobi",2,"Sword",379,NULL,True,NULL,NULL,NULL
48318,-3,80,1,20193,"Sama""s village",3080,"Sama",60,"LGFy",321,NULL,True,NULL,NULL,NULL
48323,2,80,1,20215,"avaidya11""s village",3102,"avaidya11",0,"",19,NULL,True,NULL,NULL,NULL
48324,3,80,1,21448,"AUGUSTUS",3001,"MARCVS AVRELIVS",54,"LGFx",40,NULL,False,NULL,NULL,NULL
48326,5,80,1,20211,"Reino VItorioso",3100,"Lary",0,"",11,NULL,True,NULL,NULL,NULL
48328,7,80,1,20210,"Coruscant",3098,"Paulokempfer",54,"LGFx",376,NULL,True,NULL,NULL,NULL
48330,9,80,3,20377,"Aldeia do felipe.mou",3192,"felipe.moulin",0,"",24,NULL,True,NULL,NULL,NULL
48332,11,80,3,20376,"Archi""s village",2901,"Archi",0,"",191,NULL,True,NULL,NULL,NULL
48336,15,80,2,20369,"-1- Roma capitale",3191,"Mau68",55,"RYF@",173,NULL,True,NULL,NULL,NULL
48338,17,80,3,20602,"Mugiwara""s village",3314,"Mugiwara",0,"",78,NULL,True,NULL,NULL,NULL
48341,20,80,2,20601,"00 Heimercat",3311,"Heimercat",55,"RYF@",302,NULL,True,NULL,NULL,NULL
48696,-26,79,1,20760,"Jose",3392,"Special One",60,"LGFy",379,NULL,True,NULL,NULL,NULL
48710,-12,79,3,20189,"Bellatrix""s village",3079,"Bellatrix",25,"HMB",333,NULL,True,NULL,NULL,NULL
48725,3,79,1,20085,"ROMA INVICTA",3001,"MARCVS AVRELIVS",54,"LGFx",382,NULL,True,NULL,NULL,NULL
48734,12,79,1,20209,"Corsara""s village",3099,"Corsara",0,"",10,NULL,True,NULL,NULL,NULL
48798,76,79,1,21032,"01",1957,"andcdn",21,"RyFz",62,NULL,False,NULL,NULL,NULL
49090,-33,78,3,21168,"Aldeia do Trxsavage13",3584,"Trxsavage13",0,"",15,NULL,True,NULL,NULL,NULL
49092,-31,78,2,20950,"Heradon""s #1",3493,"Heradon",0,"",169,NULL,True,NULL,NULL,NULL
49094,-29,78,1,20752,"Inferno",3387,"Nervoso",0,"",257,NULL,True,NULL,NULL,NULL
49104,-19,78,1,20188,"Xx Merlín xX""s village",3078,"Xx Merlín xX",0,"",67,NULL,True,NULL,NULL,NULL
49106,-17,78,2,20187,"Lixur009""s village",3077,"Lixur009",0,"",17,NULL,True,NULL,NULL,NULL
49109,-14,78,3,20067,"Bobik""s village",2983,"Bobik",36,"huhu",246,NULL,True,NULL,NULL,NULL
49114,-9,78,3,20065,"Villaggio di Gps",2982,"Gps",60,"LGFy",283,NULL,True,NULL,NULL,NULL
49125,2,78,2,20013,"Aldeia do HargooL",2921,"HargooL",0,"",13,NULL,True,NULL,NULL,NULL
49151,28,78,3,20777,"[01] WANO",3400,"Top13",0,"",218,NULL,True,NULL,NULL,NULL
49489,-35,77,1,21167,"Kesso""s village",3583,"Kesso",0,"",163,NULL,True,NULL,NULL,NULL
49497,-27,77,1,20540,"Aldeia do Kugrax",3269,"Kugrax",60,"LGFy",135,NULL,True,NULL,NULL,NULL
49509,-15,77,3,19992,"Aldeia do eribotol",2900,"eribotol",0,"",183,NULL,True,NULL,NULL,NULL
49513,-11,77,2,19990,"1",2898,"Laghooncher",0,"",81,NULL,True,NULL,NULL,NULL
49522,-2,77,1,19902,"R. Marsupilami",2792,"eAz__",0,"",105,NULL,True,NULL,NULL,NULL
49528,4,77,3,19924,"001 Snow of Leopard",2819,"vector",0,"",11,NULL,True,NULL,NULL,NULL
49533,9,77,5,20009,"Natars 9|77",1,"Natars",0,"",151,NULL,False,NULL,NULL,NULL
49539,15,77,5,20008,"Natars 15|77",1,"Natars",0,"",48,NULL,False,NULL,NULL,NULL
49541,17,77,3,20084,"VILLA PEDORRA",3000,"pdos123",0,"",157,NULL,True,NULL,NULL,NULL
49549,25,77,1,20365,"001",3189,"coringa",0,"",90,NULL,True,NULL,NULL,NULL
49555,31,77,3,20626,"Hamas&#39;a Selam ✌",2421,"xaloo",21,"RyFz",346,NULL,True,NULL,NULL,NULL
49557,33,77,3,20987,"Aldeia do SANTO ANDRE",3510,"SANTO ANDRE",0,"",137,NULL,True,NULL,NULL,NULL
49560,36,77,1,21259,"Aldeia do Angel",3614,"Angel",0,"",27,NULL,True,NULL,NULL,NULL
49581,57,77,1,21070,"CAPITAN PENDEJO",278,"kevin11",8,"RYF",150,NULL,False,NULL,NULL,NULL
49893,-32,76,3,20538,"MOLLA Köyü",3268,"MOLLA",0,"",12,NULL,True,NULL,NULL,NULL
49895,-30,76,3,20536,"Bátorság",3266,"KriszRob",0,"",142,NULL,True,NULL,NULL,NULL
49897,-28,76,1,20311,"DEYBY42""s village",3169,"DEYBY42",0,"",25,NULL,True,NULL,NULL,NULL
49901,-24,76,1,20179,"Ryscoga""s village",3071,"Ryscoga",81,"GBWD",205,NULL,True,NULL,NULL,NULL
49905,-20,76,3,20064,"Villaggio di Danath",2981,"Danath",60,"LGFy",277,NULL,True,NULL,NULL,NULL
49907,-18,76,2,19989,"01- BASE",2897,"Crazy raider",3,"UAN",283,NULL,False,NULL,NULL,NULL
49915,-10,76,1,19901,"Aldea de Tronko21",2789,"Tronko21",2,"Sword",346,NULL,True,NULL,NULL,NULL
49921,-4,76,3,19850,"Aldeia do Brodda",2741,"Brodda",0,"",10,NULL,True,NULL,NULL,NULL
49927,2,76,1,19872,"AhmadEmam""s village",2762,"AhmadEmam",0,"",13,NULL,True,NULL,NULL,NULL
49930,5,76,2,20348,"BOZOKLAR",2381,"Cepni",21,"RyFz",353,NULL,True,NULL,NULL,NULL
